###############################################################
#  Generated by:      Cadence Innovus 21.35-s114_1
#  OS:                Linux x86_64(Host ID cn99.it.auth.gr)
#  Generated on:      Wed Feb 26 04:48:36 2025
#  Design:            picorv32
#  Command:           report_timing > /home/d/deirmentz/VLSI_ASIC/Exercises/Exercise_1/Step_11/innovus_timing_1.txt
###############################################################
Path 1: MET Setup Check with Pin genblk1.pcpi_mul_rd_reg[49]/CK 
Endpoint:   genblk1.pcpi_mul_rd_reg[49]/D (^) checked with  leading edge of 
'clk'
Beginpoint: genblk1.pcpi_mul_rs2_reg[1]/Q (v) triggered by  leading edge of 
'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time          0.000
- Setup                         0.136
+ Phase Shift                   5.000
- Uncertainty                   0.015
= Required Time                 4.849
- Arrival Time                  4.830
= Slack Time                    0.019
     Clock Rise Edge                 0.000
     + Clock Network Latency (Ideal) 0.000
     = Beginpoint Arrival Time       0.000
     +--------------------------------------------------------------------------------------------------------+ 
     |                    Instance                    |     Arc      |   Cell    | Delay | Arrival | Required | 
     | genblk1.pcpi_mul_mul_2366_47_g14045            | A1 ^ -> Y v  | AOI21X1   | 0.138 |   3.033 |    3.052 | 
     | genblk1.pcpi_mul_mul_2366_47_g14036            | A1 v -> Y ^  | OAI21X1   | 0.133 |   3.166 |    3.185 | 
     | genblk1.pcpi_mul_mul_2366_47_g14024            | A ^ -> Y v   | INVX1     | 0.087 |   3.253 |    3.272 | 
     | FE_RC_0_0                                      | A1 v -> Y ^  | OAI21X2   | 0.096 |   3.349 |    3.368 | 
     | FE_OFC1077_genblk1_pcpi_mul_mul_2366_47_n_1591 | A ^ -> Y v   | INVX2     | 0.081 |   3.430 |    3.449 | 
     | genblk1.pcpi_mul_mul_2366_47_g13946            | A1 v -> Y ^  | OAI21X4   | 0.083 |   3.513 |    3.532 | 
     | genblk1.pcpi_mul_mul_2366_47_g13852            | A1 ^ -> Y v  | AOI21X4   | 0.122 |   3.635 |    3.655 | 
     | genblk1.pcpi_mul_mul_2366_47_g13824            | C v -> Y ^   | NOR3BX2   | 0.098 |   3.733 |    3.752 | 
     | g172206                                        | B0 ^ -> Y v  | AOI2BB1X1 | 0.086 |   3.819 |    3.838 | 
     | genblk1.pcpi_mul_mul_2366_47_g13803            | B v -> Y ^   | NOR2X2    | 0.074 |   3.893 |    3.912 | 
     | genblk1.pcpi_mul_mul_2366_47_g13801            | B ^ -> Y v   | NOR2X4    | 0.070 |   3.963 |    3.982 | 
     | genblk1.pcpi_mul_mul_2366_47_g13772            | B v -> Y ^   | NOR2X2    | 0.099 |   4.062 |    4.081 | 
     | genblk1.pcpi_mul_mul_2366_47_g13766            | B ^ -> Y ^   | CLKAND2X3 | 0.138 |   4.200 |    4.219 | 
     | genblk1.pcpi_mul_mul_2366_47_g13763            | B ^ -> Y v   | NAND2X1   | 0.082 |   4.282 |    4.301 | 
     | genblk1.pcpi_mul_mul_2366_47_g13737            | A v -> Y v   | AND2X4    | 0.161 |   4.443 |    4.462 | 
     | FE_OFC1075_mul_mul_2366_47_n_1838              | A v -> Y ^   | INVX2     | 0.086 |   4.528 |    4.548 | 
     | genblk1.pcpi_mul_mul_2366_47_g13720            | A1 ^ -> Y v  | AOI21X2   | 0.088 |   4.616 |    4.635 | 
     | genblk1.pcpi_mul_mul_2366_47_g13709            | B v -> Y ^   | XNOR2X1   | 0.213 |   4.830 |    4.849 | 
     | genblk1.pcpi_mul_rd_reg[49]                    | D ^          | DFFHQX1   | 0.000 |   4.830 |    4.849 | 
     +--------------------------------------------------------------------------------------------------------+ 

